countryOfAsylum,countryOfOrigin,year,totalRefugees
AFG,IRQ,2013,1
AFG,IRN,2013,36
AFG,PAK,2013,16825
AFG,PSE,2013,1
ALB,DZA,2013,0
ALB,CHN,2013,12
ALB,COD,2013,5
ALB,EGY,2013,3
ALB,IRQ,2013,5
ALB,MNE,2013,2
ALB,PER,2013,1
ALB,SRB,2013,54
ALB,PSE,2013,4
ALB,TUN,2013,0
ALB,TUR,2013,4
ALB,UZB,2013,3
DZA,AFG,2013,2
DZA,AGO,2013,4
DZA,BDI,2013,1
DZA,CMR,2013,10
DZA,CAF,2013,1
DZA,TCD,2013,2
DZA,COG,2013,7
DZA,CIV,2013,30
DZA,COD,2013,43
DZA,ERI,2013,1
DZA,GIN,2013,1
DZA,IRQ,2013,15
DZA,LBR,2013,2
DZA,MLI,2013,0
DZA,MRT,2013,1
DZA,NGA,2013,2
DZA,SOM,2013,4
DZA,PSE,2013,4017
DZA,TGO,2013,3
DZA,ESH,2013,90000
DZA,YEM,2013,4
AGO,DZA,2013,1
AGO,BDI,2013,18
AGO,CAF,2013,13
AGO,TCD,2013,195
AGO,COG,2013,65
AGO,CIV,2013,407
AGO,CUB,2013,2
AGO,COD,2013,21104
AGO,ERI,2013,5
AGO,GIN,2013,164
AGO,GNB,2013,5
AGO,HTI,2013,2
AGO,IRQ,2013,2
AGO,LBR,2013,160
AGO,MRT,2013,235
AGO,RWA,2013,458
AGO,SLE,2013,413
AGO,SOM,2013,215
AGO,ZAF,2013,2
AGO,SDN,2013,281
AGO,UGA,2013,2
AGO,TZA,2013,6
AGO,ESH,2013,27
AGO,ZMB,2013,1
ARG,AFG,2013,1
ARG,ALB,2013,25
ARG,DZA,2013,41
ARG,AGO,2013,13
ARG,ARM,2013,122
ARG,BGD,2013,0
ARG,BLR,2013,1
ARG,BEN,2013,1
ARG,BOL,2013,3
ARG,BIH,2013,6
ARG,BRA,2013,1
ARG,BGR,2013,2
ARG,BDI,2013,5
ARG,CMR,2013,11
ARG,CAF,2013,2
ARG,TCD,2013,2
ARG,CHL,2013,36
ARG,CHN,2013,2
ARG,COL,2013,526
ARG,COG,2013,9
ARG,CRI,2013,5
ARG,CIV,2013,36
ARG,HRV,2013,2
ARG,CUB,2013,345
ARG,COD,2013,16
ARG,DOM,2013,2
ARG,ECU,2013,15
ARG,EGY,2013,5
ARG,SLV,2013,13
ARG,ERI,2013,2
ARG,ETH,2013,3
ARG,GMB,2013,2
ARG,GEO,2013,5
ARG,GHA,2013,62
ARG,GTM,2013,1
ARG,GIN,2013,10
ARG,GNB,2013,19
ARG,HTI,2013,62
ARG,HND,2013,4
ARG,IND,2013,32
ARG,IRQ,2013,25
ARG,IRN,2013,18
ARG,ITA,2013,1
ARG,KAZ,2013,22
ARG,KEN,2013,1
ARG,KGZ,2013,3
ARG,LBR,2013,69
ARG,MLI,2013,19
ARG,MRT,2013,2
ARG,MEX,2013,1
ARG,MAR,2013,2
ARG,NIC,2013,2
ARG,NGA,2013,50
ARG,PAK,2013,43
ARG,PRY,2013,3
ARG,PER,2013,582
ARG,ROU,2013,54
ARG,RUS,2013,61
ARG,RWA,2013,1
ARG,SEN,2013,66
ARG,SRB,2013,17
ARG,SLE,2013,41
ARG,SOM,2013,5
ARG,ZAF,2013,3
ARG,LKA,2013,34
ARG,SDN,2013,3
ARG,SYR,2013,159
ARG,TGO,2013,2
ARG,TUN,2013,2
ARG,TUR,2013,12
ARG,TKM,2013,2
ARG,UKR,2013,24
ARG,USA,2013,4
ARG,VEN,2013,1
ARG,YEM,2013,15
ARG,ZWE,2013,3
ARM,AZE,2013,1607
ARM,CIV,2013,6
ARM,ETH,2013,1
ARM,GEO,2013,8
ARM,IRQ,2013,967
ARM,IRN,2013,27
ARM,KAZ,2013,1
ARM,LBN,2013,17
ARM,RUS,2013,1
ARM,PSE,2013,5
ARM,SYR,2013,11090
ARM,TUR,2013,2
ABW,COL,2013,1
AUS,AFG,2013,8368
AUS,ALB,2013,66
AUS,DZA,2013,10
AUS,AGO,2013,2
AUS,ARG,2013,1
AUS,ARM,2013,4
AUS,AZE,2013,2
AUS,BHR,2013,82
AUS,BGD,2013,343
AUS,BLR,2013,4
AUS,BEN,2013,1
AUS,BTN,2013,2
AUS,BIH,2013,1
AUS,BWA,2013,1
AUS,BRA,2013,3
AUS,BGR,2013,1
AUS,BDI,2013,26
AUS,KHM,2013,23
AUS,CMR,2013,52
AUS,TCD,2013,3
AUS,CHL,2013,1
AUS,CHN,2013,2820
AUS,COL,2013,124
AUS,COG,2013,16
AUS,CIV,2013,6
AUS,HRV,2013,3
AUS,CUB,2013,3
AUS,CZE,2013,1
AUS,PRK,2013,30
AUS,COD,2013,28
AUS,DNK,2013,2
AUS,DJI,2013,2
AUS,ECU,2013,3
AUS,EGY,2013,1132
AUS,SLV,2013,5
AUS,ERI,2013,91
AUS,ETH,2013,191
AUS,FJI,2013,324
AUS,FRA,2013,4
AUS,GMB,2013,3
AUS,GEO,2013,9
AUS,DEU,2013,2
